S.No,Country/Region,ISO3,Exports_1,Imports_1,Total Trade_1,Trd.Bal_1,Exports_2,Imports_2,Total Trade_2,Trd.Bal_2,Export_Share_of_TotalTrade_%,Import_Share_of_TotalTrade_%,TradeBalance_Ratio_%,Exports_Growth_Computed_%,Imports_Growth_Computed_%,TotalTrade_Growth_%,Total_Trade_Calculated_Y1,Total_Trade_Difference_Y1,Total_Trade_Validation_Y1,Trade_Balance_Calculated_Y1,Trade_Balance_Difference_Y1,Trade_Balance_Validation_Y1,Total_Trade_Calculated_Y0,Total_Trade_Difference_Y0,Total_Trade_Validation_Y0,Trade_Balance_Calculated_Y0,Trade_Balance_Difference_Y0,Trade_Balance_Validation_Y0,Continent,Regional_Grouping,Income_Group_WB,GDP_USD_million_External,GDP_Growth_%_Derived,GDP_per_Capita_USD_Derived,Population_million_External,FTA_with_India,Distance_from_India_km_approx,Import_to_Export_Ratio,Trade_Balance_Category,Import_Dependency,Export_Dependency,Export_Growth_Category,Imports_Growth_Category,TotalTrade_Growth_Category,Trade_Pressure_Score_0_100,Trade_Pressure_Category,Export_Opportunity_Score_0_100_Sim,Market_Risk_Score_0_100_Sim,Investment_Priority_Score_0_100_Sim,Target_Market_Priority_Score_0_100_Sim,Expected_Revenue_USD_million_Sim,Expected_Cost_USD_million_Sim,Expected_Profit_USD_million_Sim,Profit_Margin_%_Sim,Investment_Required_USD_million_Sim,Expected_ROI_%_Sim,Recommended_Action_Sim,GDP_Source,GDP_Source_Year,Population_Source,Population_Source_Year,Classification_Source,Classification_Source_Year,Distance_Source,Year_Status_Note,Import_to_Export_Ratio_Status,Predictive_Next_Year_Exports,Predictive_Next_Year_Imports,Predictive_Next_Year_Total_Trade,Predictive_Next_Year_Trade_Balance,Predictive_Export_Lag_1,Predictive_Import_Lag_1,Predictive_Trade_Lag_1,Predictive_TradeBalance_Lag_1
122,MARSHALL ISLAND,MHL,18.04,3.0,21.05,15.04,23.57,48.97,72.54,-25.4,85.70071258907362,14.251781472684083,71.44893111638955,30.65410199556542,1532.3333333333333,244.6080760095012,21.04,0.01,Valid,15.04,0.0,Valid,72.53999999999999,0.0,Valid,-25.4,0.0,Valid,Oceania,East Asia and Pacific,Upper-middle income,284.0,9.75,7563.65,0.038,No,9770.0,0.1663,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,High Growth,High Growth,41.9,Moderate Trade Pressure,53.4,41.9,55.8,50.2,0.9,0.62,0.28,31.11,0.72,38.89,Diversify Export Market,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,18.04,3.0,21.05,15.04,23.57,48.97,72.54,-25.4
123,MARTINIQUE,MTQ,32.11,4.06,36.17,28.04,35.07,2.29,37.36,32.78,88.775228089577,11.224771910423,77.52280895769974,9.218312052320153,-43.59605911330048,3.290019353055011,36.17,0.0,Valid,28.05,-0.01,Valid,37.36,0.0,Valid,32.78,0.0,Valid,Americas,,,,,,,No,14020.0,0.1264,Trade Surplus,Low Import Dependency,High Export Dependency,Moderate Growth,Negative Growth,Moderate Growth,24.0,Low Trade Pressure,41.8,24.0,58.9,53.0,1.61,1.1,0.51,31.68,1.29,39.53,Diversify Product,,,,,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,32.11,4.06,36.17,28.04,35.07,2.29,37.36,32.78
124,MAURITANIA,MRT,655.85,122.94,778.79,532.92,733.31,165.48,898.79,567.83,84.21397295805032,15.78602704194969,68.42922995929584,11.810627430052593,34.60224499755978,15.408518342557043,778.79,0.0,Valid,532.9100000000001,0.01,Valid,898.79,0.0,Valid,567.8299999999999,0.0,Valid,Africa,Sub-Saharan Africa,Lower-middle income,10452.58,7.27,2022.01,5.169,No,9162.0,0.1875,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,High Growth,High Growth,25.8,Low Trade Pressure,52.8,25.8,63.5,57.2,32.79,22.29,10.5,32.02,26.23,40.03,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,655.85,122.94,778.79,532.92,733.31,165.48,898.79,567.83
125,MAURITIUS,MUS,5332.64,536.56,5869.2,4796.08,5044.9,1654.16,6699.06,3390.74,90.85803857425203,9.141961425747972,81.71607714850406,-5.39582645743948,208.289846429104,14.139235330198332,5869.200000000001,-0.0,Valid,4796.08,0.0,Valid,6699.06,0.0,Valid,3390.74,0.0,Valid,Africa,Sub-Saharan Africa,Upper-middle income,14397.13,11.36,11556.73,1.246,Yes - In force,4954.0,0.1006,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,High Growth,High Growth,30.0,Low Trade Pressure,53.7,30.0,61.8,65.6,266.63,181.32,85.31,32.0,213.3,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,5332.64,536.56,5869.2,4796.08,5044.9,1654.16,6699.06,3390.74
126,MAYOTTE,MYT,49.47,10.16,59.62,39.31,52.96,12.2,65.16,40.76,82.97551157329755,17.041261321704127,65.93425025159343,7.054780675156665,20.078740157480308,9.292183830929217,59.63,-0.01,Valid,39.31,0.0,Valid,65.16,0.0,Valid,40.760000000000005,-0.0,Valid,Africa,,,,,,,No,5046.0,0.2054,Trade Surplus,Low Import Dependency,High Export Dependency,Moderate Growth,High Growth,Moderate Growth,25.7,Low Trade Pressure,41.6,25.7,58.0,52.2,2.47,1.68,0.79,31.98,1.98,39.9,Diversify Product,,,,,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,49.47,10.16,59.62,39.31,52.96,12.2,65.16,40.76
127,MEXICO,MEX,36070.34,19704.56,55774.89,16365.78,40427.65,20745.74,61173.4,19681.91,64.6712884597352,35.32872946947991,29.34255899025529,12.080035841081637,5.283954577011617,9.679104701058131,55774.9,-0.01,Valid,16365.779999999995,0.0,Valid,61173.39,0.01,Valid,19681.91,0.0,Valid,Americas,Latin America and the Caribbean,Upper-middle income,1788886.82,22.25,13670.13,130.861,No,15232.0,0.5463,Trade Surplus,Low Import Dependency,Moderate Export Dependency,High Growth,Moderate Growth,Moderate Growth,21.4,Low Trade Pressure,73.2,21.4,75.9,68.3,1803.52,1226.4,577.12,32.0,1442.82,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,36070.34,19704.56,55774.89,16365.78,40427.65,20745.74,61173.4,19681.91
128,MICRONESIA,FSM,4.22,0.01,4.23,4.21,6.32,0.0,6.33,6.32,99.76359338061464,0.2364066193853428,99.5271867612293,49.76303317535547,-100.0,49.64539007092198,4.23,0.0,Valid,4.21,0.0,Valid,6.32,0.01,Valid,6.32,0.0,Valid,Oceania,East Asia and Pacific,Upper-middle income,460.0,6.98,4065.04,0.113,No,8834.0,0.0024,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Negative Growth,High Growth,21.1,Low Trade Pressure,62.8,21.1,70.8,63.7,0.21,0.15,0.06,28.57,0.17,35.29,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,4.22,0.01,4.23,4.21,6.32,0.0,6.33,6.32
129,MOLDOVA,MDA,85.83,32.64,118.46,53.19,66.45,8.57,75.01,57.88,72.45483707580618,27.55360459226744,44.90123248353875,-22.57951765117092,-73.74387254901961,-36.67904777984129,118.47,-0.01,Valid,53.19,0.0,Valid,75.02000000000001,-0.01,Valid,57.88,0.0,Valid,Europe,Europe and Central Asia,Upper-middle income,16539.44,13.98,6884.82,2.402,No,5253.0,0.3803,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,24.5,Low Trade Pressure,24.6,24.5,50.0,45.0,4.29,2.92,1.37,31.93,3.43,39.94,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,85.83,32.64,118.46,53.19,66.45,8.57,75.01,57.88
130,MONACO,MCO,16.86,4.41,21.27,12.46,49.73,18.42,68.15,31.3,79.26657263751763,20.73342736248237,58.58015984955337,194.95848161328587,317.687074829932,220.4043253408557,21.27,0.0,Valid,12.45,0.01,Valid,68.15,0.0,Valid,31.309999999999995,-0.01,Valid,Europe,Europe and Central Asia,High income,,,,0.039,No,6868.0,0.2616,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,High Growth,High Growth,25.7,Low Trade Pressure,64.8,25.7,69.6,62.6,0.84,0.57,0.27,32.14,0.67,40.3,Diversify Product,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,16.86,4.41,21.27,12.46,49.73,18.42,68.15,31.3
131,MONGOLIA,MNG,218.81,8.19,227.0,210.61,181.73,0.91,182.65,180.82,96.3920704845815,3.607929515418504,92.7797356828194,-16.94620903980623,-88.88888888888889,-19.537444933920703,227.0,0.0,Valid,210.62,-0.01,Valid,182.64,0.01,Valid,180.82,0.0,Valid,Asia,East Asia and Pacific,Upper-middle income,19872.18,15.9,5637.84,3.525,No,3856.0,0.0374,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,23.9,Low Trade Pressure,30.5,23.9,53.3,48.0,10.94,7.45,3.49,31.9,8.75,39.89,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,218.81,8.19,227.0,210.61,181.73,0.91,182.65,180.82
132,MONTENEGRO,MNE,189.78,12.3,202.08,177.49,991.98,10.32,1002.3,981.67,93.91330166270784,6.0866983372921615,87.83155186064924,422.6999683844451,-16.09756097560976,395.9916864608075,202.08,0.0,Valid,177.48,0.01,Valid,1002.3,-0.0,Valid,981.66,0.01,Valid,Europe,Europe and Central Asia,Upper-middle income,7404.54,18.86,11875.29,0.624,No,5898.0,0.0648,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Negative Growth,High Growth,8.5,Low Trade Pressure,70.0,8.5,80.8,72.7,9.49,6.45,3.04,32.03,7.59,40.05,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,189.78,12.3,202.08,177.49,991.98,10.32,1002.3,981.67
133,MOROCCO,MAR,6957.78,9456.44,16414.22,-2498.66,6580.57,12281.0,18861.58,-5700.43,42.38873367117048,57.61126632882952,-15.222532657659029,-5.421413151896152,29.86916852430724,14.909998769359742,16414.22,0.0,Valid,-2498.6600000000008,0.0,Valid,18861.57,0.01,Valid,-5700.43,0.0,Valid,Africa,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income,141109.37,7.79,3705.49,38.081,No,8119.0,1.3591,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,High Growth,High Growth,27.2,Low Trade Pressure,56.1,27.2,64.4,58.0,347.89,236.57,111.32,32.0,278.31,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,6957.78,9456.44,16414.22,-2498.66,6580.57,12281.0,18861.58,-5700.43
134,MOZAMBIQUE,MOZ,13835.6,16483.88,30319.48,-2648.28,9838.57,15927.06,25765.63,-6088.49,45.632708740387365,54.36729125961264,-8.734582519225265,-28.889459076585045,-3.377966837904677,-15.019551786508206,30319.480000000003,-0.0,Valid,-2648.2800000000007,0.0,Valid,25765.63,0.0,Valid,-6088.49,0.0,Valid,Africa,Sub-Saharan Africa,Low income,20624.6,12.05,595.54,34.632,No,6251.0,1.1914,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,Negative Growth,Negative Growth,27.3,Low Trade Pressure,45.5,27.3,59.1,53.2,691.78,470.41,221.37,32.0,553.42,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,13835.6,16483.88,30319.48,-2648.28,9838.57,15927.06,25765.63,-6088.49
135,MYANMAR,MMR,4570.41,7092.59,11663.0,-2522.17,4172.75,11188.64,15361.38,-7015.89,39.1872588527823,60.8127411472177,-21.625396553202435,-8.700751136112512,57.75111771581325,31.710366115064726,11663.0,0.0,Valid,-2522.1800000000003,0.01,Valid,15361.39,-0.01,Valid,-7015.889999999999,-0.0,Valid,Asia,East Asia and Pacific,Lower-middle income,64815.03,4.12,1189.26,54.5,Yes - In force,2190.0,1.5518,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,High Growth,High Growth,28.1,Low Trade Pressure,51.1,28.1,61.5,65.4,228.52,155.4,73.12,32.0,182.82,40.0,Diversify Product,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,4570.41,7092.59,11663.0,-2522.17,4172.75,11188.64,15361.38,-7015.89
136,N. MARIANA IS.,MNP,2.53,0.0,2.54,2.53,,,0.0,0.0,99.60629921259842,0.0,99.60629921259842,,,-100.0,2.53,0.01,Valid,2.53,0.0,Valid,,,Missing,,,Missing,Oceania,East Asia and Pacific,High income,,,,0.044,No,7258.0,0.0,Trade Surplus,Low Import Dependency,High Export Dependency,Missing,Missing,Negative Growth,26.5,Low Trade Pressure,32.0,26.5,52.8,47.5,0.13,0.09,0.04,30.77,0.1,40.0,Maintain Current Trade,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,2.53,0.0,2.54,2.53,,,0.0,0.0
137,NAMIBIA,NAM,3666.13,2640.33,6306.46,1025.79,1504.74,1474.89,2979.63,29.85,58.132930360297216,41.867069639702784,16.265702153030386,-58.95562896023874,-44.13993705332288,-52.75273291196646,6306.46,0.0,Valid,1025.8000000000002,-0.01,Valid,2979.63,0.0,Valid,29.84999999999991,0.0,Valid,Africa,Sub-Saharan Africa,Lower-middle income,12351.02,-1.72,4076.07,3.03,No,8016.0,0.7202,Trade Surplus,Low Import Dependency,Moderate Export Dependency,Negative Growth,Negative Growth,Negative Growth,26.6,Low Trade Pressure,24.0,26.6,48.7,43.8,183.31,124.65,58.66,32.0,146.65,40.0,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,3666.13,2640.33,6306.46,1025.79,1504.74,1474.89,2979.63,29.85
138,NAURU RP,NRU,0.7,0.02,0.73,0.68,0.33,0.01,0.34,0.32,95.8904109589041,2.739726027397261,93.15068493150686,-52.85714285714285,-50.0,-53.42465753424656,0.72,0.01,Valid,0.6799999999999999,0.0,Valid,0.34,0.0,Valid,0.32,0.0,Valid,Oceania,,High income,154.13,0.2,12900.96,0.012,No,10019.0,0.0286,Trade Surplus,Low Import Dependency,High Export Dependency,Negative Growth,Negative Growth,Negative Growth,26.4,Low Trade Pressure,0.6,26.4,37.1,33.4,0.03,0.02,0.01,33.33,0.02,50.0,Maintain Current Trade,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,0.7,0.02,0.73,0.68,0.33,0.01,0.34,0.32
139,NEPAL,NPL,48364.41,5675.38,54039.79,42689.03,51229.61,7873.03,59102.64,43356.57,89.49777562051963,10.50222437948038,78.99555124103924,5.92419094950191,38.72251725875624,9.368744771213947,54039.79,0.0,Valid,42689.030000000006,-0.0,Valid,59102.64,0.0,Valid,43356.58,-0.01,Valid,Asia,South Asia,Lower-middle income,40908.07,-0.67,1379.65,29.651,Partial/Preferential (SAFTA/SAPTA/MERCOSUR PTA/APTA),1138.0,0.1173,Trade Surplus,Low Import Dependency,High Export Dependency,Moderate Growth,High Growth,Moderate Growth,19.7,Low Trade Pressure,70.8,19.7,75.6,68.0,2418.22,1644.39,773.83,32.0,1934.58,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,48364.41,5675.38,54039.79,42689.03,51229.61,7873.03,59102.64,43356.57
140,NETHERLAND,NLD,145022.34,34839.97,179862.31,110182.37,160132.42,35528.82,195661.24,124603.6,80.62964386479857,19.370356135201423,61.25928772959716,10.419139561532392,1.977183103200142,8.783902530774787,179862.31,0.0,Valid,110182.37,0.0,Valid,195661.24,-0.0,Valid,124603.6,0.0,Valid,Europe,Europe and Central Asia,High income,1118124.75,10.77,62140.53,17.993,"Concluded (EU-India FTA, Jan 2026) - Not yet in force",6996.0,0.2402,Trade Surplus,Low Import Dependency,High Export Dependency,High Growth,Moderate Growth,Moderate Growth,18.6,Low Trade Pressure,75.9,18.6,78.6,70.7,7251.12,4930.76,2320.36,32.0,5800.9,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,145022.34,34839.97,179862.31,110182.37,160132.42,35528.82,195661.24,124603.6
141,NETHERLANDANTIL,,150.02,157.14,307.16,-7.12,129.0,26.45,155.45,102.55,48.8409949212137,51.15900507878629,-2.3180101575726004,-14.011465137981608,-83.16787577955964,-49.39119677041282,307.16,0.0,Valid,-7.119999999999976,-0.0,Valid,155.45,0.0,Valid,102.55,0.0,Valid,,,,,,,,Missing,,1.0475,Trade Deficit,Moderate Import Dependency,Low Export Dependency,Negative Growth,Negative Growth,Negative Growth,24.0,Low Trade Pressure,31.0,24.0,53.5,48.2,7.5,5.09,2.41,32.13,6.0,40.17,Maintain Current Trade,,,,,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,150.02,157.14,307.16,-7.12,129.0,26.45,155.45,102.55
142,NEW CALEDONIA,NCL,109.16,207.03,316.19,-97.88,42.35,57.9,100.26,-15.55,34.52354596919574,65.47645403080426,-30.95607071697397,-61.20373763283254,-72.03303869004492,-68.29121730605017,316.19,0.0,Valid,-97.87,-0.01,Valid,100.25,0.01,Valid,-15.549999999999995,-0.0,Valid,Oceania,East Asia and Pacific,High income,,,,0.293,No,10661.0,1.8966,Trade Deficit,High Import Dependency,Low Export Dependency,Negative Growth,Negative Growth,Negative Growth,26.3,Low Trade Pressure,8.8,26.3,41.2,37.1,5.46,3.71,1.75,32.05,4.37,40.05,Reduce Import Dependency,,,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,109.16,207.03,316.19,-97.88,42.35,57.9,100.26,-15.55
143,NEW ZEALAND,NZL,3653.56,2361.96,6015.52,1291.59,4931.75,4221.99,9153.73,709.76,60.73556400776658,39.26443599223342,21.47096177886533,34.9847819660824,78.74942844078645,52.16855733170198,6015.52,0.0,Valid,1291.6,-0.01,Valid,9153.74,-0.01,Valid,709.7600000000002,-0.0,Valid,Oceania,East Asia and Pacific,High income,253465.7,2.73,47936.78,5.288,Concluded - Not yet in force,12021.0,0.6465,Trade Surplus,Low Import Dependency,Moderate Export Dependency,High Growth,High Growth,High Growth,25.9,Low Trade Pressure,74.8,25.9,74.4,67.0,182.68,124.22,58.46,32.0,146.14,40.0,Increase Exports,World Bank (NY.GDP.MKTP.CD) via datasets/gdp mirror,2023.0,World Bank (SP.POP.TOTL) via datasets/population mirror,2024.0,"World Bank Data Help Desk - Country and Lending Groups (FY2027, based on 2025 GNI); Continent field from mledoze/countries reference dataset",2026,"Derived: haversine great-circle distance between country centroid coordinates (mledoze/countries reference dataset) and India centroid. Approximate straight-line distance, NOT actual trade/shipping route distance.",Exact calendar year not recoverable from source file; periods kept as relative labels Y1 (current) and Y0 (previous),Valid,3653.56,2361.96,6015.52,1291.59,4931.75,4221.99,9153.73,709.76
